id	valid	count
chr1	TRUE	10396091
chr10	TRUE	4133336
chr11	TRUE	4141388
chr11_gl000202_random	TRUE	23
chr12	TRUE	3835992
chr13	TRUE	1018014
chr14	TRUE	2693284
chr15	TRUE	4290156
chr16	TRUE	6117546
chr17	TRUE	6557379
chr17_gl000203_random	TRUE	6
chr17_gl000204_random	TRUE	150
chr17_gl000205_random	TRUE	342
chr17_gl000206_random	TRUE	6
chr18	TRUE	830640
chr18_gl000207_random	TRUE	2
chr19	TRUE	5911408
chr19_gl000208_random	TRUE	239
chr19_gl000209_random	TRUE	61
chr1_gl000191_random	TRUE	3752
chr1_gl000192_random	TRUE	25594
chr2	TRUE	5663137
chr20	TRUE	2119134
chr21	TRUE	1523481
chr21_gl000210_random	TRUE	25
chr22	TRUE	2668408
chr3	TRUE	6581843
chr4	TRUE	3191960
chr4_gl000193_random	TRUE	45
chr4_gl000194_random	TRUE	14718
chr5	TRUE	3521998
chr6	TRUE	3908246
chr7	TRUE	4697684
chr7_gl000195_random	TRUE	1730
chr8	TRUE	2064143
chr8_gl000196_random	TRUE	1357
chr8_gl000197_random	TRUE	805
chr9	TRUE	3766410
chr9_gl000198_random	TRUE	73
chr9_gl000199_random	TRUE	3
chr9_gl000200_random	TRUE	527
chr9_gl000201_random	TRUE	430
chrM	TRUE	62113
chrUn_gl000211	TRUE	14727
chrUn_gl000212	TRUE	172
chrUn_gl000213	TRUE	75
chrUn_gl000214	TRUE	212
chrUn_gl000215	TRUE	224
chrUn_gl000216	TRUE	32
chrUn_gl000217	TRUE	156
chrUn_gl000218	TRUE	8286
chrUn_gl000219	TRUE	723
chrUn_gl000220	TRUE	187
chrUn_gl000221	TRUE	850
chrUn_gl000222	TRUE	160
chrUn_gl000223	TRUE	14873
chrUn_gl000224	TRUE	259
chrUn_gl000225	TRUE	42
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	787
chrUn_gl000228	TRUE	20
chrUn_gl000229	TRUE	10
chrUn_gl000230	TRUE	17
chrUn_gl000231	TRUE	15
chrUn_gl000232	TRUE	32
chrUn_gl000233	TRUE	98
chrUn_gl000234	TRUE	46
chrUn_gl000235	TRUE	38
chrUn_gl000236	TRUE	196
chrUn_gl000237	TRUE	87
chrUn_gl000238	TRUE	506
chrUn_gl000239	TRUE	81
chrUn_gl000240	TRUE	389
chrUn_gl000241	TRUE	1291
chrUn_gl000242	TRUE	49
chrUn_gl000243	TRUE	370
chrUn_gl000244	TRUE	7
chrUn_gl000245	TRUE	11
chrUn_gl000246	TRUE	80
chrUn_gl000247	TRUE	2141
chrUn_gl000248	TRUE	2740
chrUn_gl000249	TRUE	98
chrX	TRUE	2123218
chrY	TRUE	131826
