id	valid	count
chr1	TRUE	8230380
chr10	TRUE	3776973
chr11	TRUE	3900079
chr11_gl000202_random	TRUE	12
chr12	TRUE	3438689
chr13	TRUE	897692
chr14	TRUE	2534215
chr15	TRUE	3244528
chr16	TRUE	3145157
chr17	TRUE	5720228
chr17_gl000203_random	TRUE	4
chr17_gl000204_random	TRUE	20
chr17_gl000205_random	TRUE	117
chr17_gl000206_random	TRUE	8
chr18	TRUE	713681
chr18_gl000207_random	TRUE	2
chr19	TRUE	5745369
chr19_gl000208_random	TRUE	5
chr19_gl000209_random	TRUE	11
chr1_gl000191_random	TRUE	456
chr1_gl000192_random	TRUE	308
chr2	TRUE	4814799
chr20	TRUE	2033049
chr21	TRUE	1437751
chr21_gl000210_random	TRUE	10
chr22	TRUE	2528813
chr3	TRUE	6060421
chr4	TRUE	2721740
chr4_gl000193_random	TRUE	26
chr4_gl000194_random	TRUE	10076
chr5	TRUE	2723486
chr6	TRUE	3464168
chr7	TRUE	3448031
chr7_gl000195_random	TRUE	1810
chr8	TRUE	1803211
chr8_gl000196_random	TRUE	17
chr8_gl000197_random	TRUE	12
chr9	TRUE	3138930
chr9_gl000198_random	TRUE	9
chr9_gl000199_random	TRUE	6
chr9_gl000200_random	TRUE	88
chr9_gl000201_random	TRUE	8
chrM	TRUE	50869
chrUn_gl000211	TRUE	120
chrUn_gl000212	TRUE	53
chrUn_gl000213	TRUE	15
chrUn_gl000214	TRUE	11
chrUn_gl000215	TRUE	9
chrUn_gl000216	TRUE	9
chrUn_gl000217	TRUE	9
chrUn_gl000218	TRUE	3933
chrUn_gl000219	TRUE	41
chrUn_gl000220	TRUE	34
chrUn_gl000221	TRUE	13
chrUn_gl000222	TRUE	14
chrUn_gl000223	TRUE	213
chrUn_gl000224	TRUE	33
chrUn_gl000225	TRUE	22
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	15
chrUn_gl000228	TRUE	4
chrUn_gl000229	TRUE	3
chrUn_gl000230	TRUE	10
chrUn_gl000231	TRUE	1
chrUn_gl000232	TRUE	4
chrUn_gl000233	TRUE	5
chrUn_gl000234	TRUE	6
chrUn_gl000235	TRUE	2
chrUn_gl000236	TRUE	4
chrUn_gl000237	TRUE	8
chrUn_gl000238	TRUE	10
chrUn_gl000239	TRUE	4
chrUn_gl000240	TRUE	8
chrUn_gl000241	TRUE	1009
chrUn_gl000242	TRUE	6
chrUn_gl000243	TRUE	2
chrUn_gl000244	TRUE	0
chrUn_gl000245	TRUE	0
chrUn_gl000246	TRUE	4
chrUn_gl000247	TRUE	13
chrUn_gl000248	TRUE	23
chrUn_gl000249	TRUE	7
chrX	TRUE	1684431
chrY	TRUE	6961
