id	valid	count
chr1	TRUE	8474560
chr10	TRUE	3878860
chr11	TRUE	3957932
chr11_gl000202_random	TRUE	0
chr12	TRUE	3535694
chr13	TRUE	883966
chr14	TRUE	2552778
chr15	TRUE	3699352
chr16	TRUE	3675792
chr17	TRUE	6005714
chr17_gl000203_random	TRUE	0
chr17_gl000204_random	TRUE	0
chr17_gl000205_random	TRUE	0
chr17_gl000206_random	TRUE	0
chr18	TRUE	714178
chr18_gl000207_random	TRUE	0
chr19	TRUE	5868036
chr19_gl000208_random	TRUE	0
chr19_gl000209_random	TRUE	0
chr1_gl000191_random	TRUE	2012
chr1_gl000192_random	TRUE	0
chr2	TRUE	4900126
chr20	TRUE	2058308
chr21	TRUE	1496374
chr21_gl000210_random	TRUE	0
chr22	TRUE	2655952
chr3	TRUE	6099334
chr4	TRUE	2687426
chr4_gl000193_random	TRUE	0
chr4_gl000194_random	TRUE	13512
chr5	TRUE	2793226
chr6	TRUE	3545732
chr7	TRUE	3751574
chr7_gl000195_random	TRUE	1706
chr8	TRUE	1764664
chr8_gl000196_random	TRUE	0
chr8_gl000197_random	TRUE	0
chr9	TRUE	3204228
chr9_gl000198_random	TRUE	0
chr9_gl000199_random	TRUE	0
chr9_gl000200_random	TRUE	0
chr9_gl000201_random	TRUE	0
chrM	TRUE	51504
chrUn_gl000211	TRUE	0
chrUn_gl000212	TRUE	34
chrUn_gl000213	TRUE	0
chrUn_gl000214	TRUE	0
chrUn_gl000215	TRUE	0
chrUn_gl000216	TRUE	0
chrUn_gl000217	TRUE	0
chrUn_gl000218	TRUE	5514
chrUn_gl000219	TRUE	0
chrUn_gl000220	TRUE	0
chrUn_gl000221	TRUE	0
chrUn_gl000222	TRUE	0
chrUn_gl000223	TRUE	154
chrUn_gl000224	TRUE	0
chrUn_gl000225	TRUE	0
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	26
chrUn_gl000228	TRUE	0
chrUn_gl000229	TRUE	0
chrUn_gl000230	TRUE	0
chrUn_gl000231	TRUE	0
chrUn_gl000232	TRUE	0
chrUn_gl000233	TRUE	0
chrUn_gl000234	TRUE	0
chrUn_gl000235	TRUE	0
chrUn_gl000236	TRUE	0
chrUn_gl000237	TRUE	0
chrUn_gl000238	TRUE	4
chrUn_gl000239	TRUE	0
chrUn_gl000240	TRUE	0
chrUn_gl000241	TRUE	1132
chrUn_gl000242	TRUE	0
chrUn_gl000243	TRUE	0
chrUn_gl000244	TRUE	0
chrUn_gl000245	TRUE	0
chrUn_gl000246	TRUE	0
chrUn_gl000247	TRUE	0
chrUn_gl000248	TRUE	0
chrUn_gl000249	TRUE	0
chrX	TRUE	1718990
chrY	TRUE	1606
