id	valid	count
chr1	TRUE	7462336
chr10	TRUE	3399384
chr11	TRUE	3403458
chr11_gl000202_random	TRUE	2
chr12	TRUE	3105177
chr13	TRUE	777327
chr14	TRUE	2235325
chr15	TRUE	3454328
chr16	TRUE	3809485
chr17	TRUE	5526756
chr17_gl000203_random	TRUE	1
chr17_gl000204_random	TRUE	107
chr17_gl000205_random	TRUE	29
chr17_gl000206_random	TRUE	0
chr18	TRUE	638035
chr18_gl000207_random	TRUE	0
chr19	TRUE	5111979
chr19_gl000208_random	TRUE	9
chr19_gl000209_random	TRUE	0
chr1_gl000191_random	TRUE	2250
chr1_gl000192_random	TRUE	11967
chr2	TRUE	4322439
chr20	TRUE	1798082
chr21	TRUE	1292686
chr21_gl000210_random	TRUE	14
chr22	TRUE	2272229
chr3	TRUE	5367098
chr4	TRUE	2346749
chr4_gl000193_random	TRUE	2
chr4_gl000194_random	TRUE	11443
chr5	TRUE	2631143
chr6	TRUE	3040759
chr7	TRUE	3646638
chr7_gl000195_random	TRUE	1522
chr8	TRUE	1588396
chr8_gl000196_random	TRUE	953
chr8_gl000197_random	TRUE	741
chr9	TRUE	3000545
chr9_gl000198_random	TRUE	4
chr9_gl000199_random	TRUE	9
chr9_gl000200_random	TRUE	339
chr9_gl000201_random	TRUE	327
chrM	TRUE	50350
chrUn_gl000211	TRUE	6037
chrUn_gl000212	TRUE	51
chrUn_gl000213	TRUE	7
chrUn_gl000214	TRUE	43
chrUn_gl000215	TRUE	92
chrUn_gl000216	TRUE	3
chrUn_gl000217	TRUE	35
chrUn_gl000218	TRUE	5748
chrUn_gl000219	TRUE	83
chrUn_gl000220	TRUE	30
chrUn_gl000221	TRUE	208
chrUn_gl000222	TRUE	54
chrUn_gl000223	TRUE	12373
chrUn_gl000224	TRUE	47
chrUn_gl000225	TRUE	4
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	215
chrUn_gl000228	TRUE	7
chrUn_gl000229	TRUE	0
chrUn_gl000230	TRUE	2
chrUn_gl000231	TRUE	3
chrUn_gl000232	TRUE	1
chrUn_gl000233	TRUE	26
chrUn_gl000234	TRUE	0
chrUn_gl000235	TRUE	1
chrUn_gl000236	TRUE	6
chrUn_gl000237	TRUE	0
chrUn_gl000238	TRUE	264
chrUn_gl000239	TRUE	0
chrUn_gl000240	TRUE	111
chrUn_gl000241	TRUE	1011
chrUn_gl000242	TRUE	0
chrUn_gl000243	TRUE	115
chrUn_gl000244	TRUE	1
chrUn_gl000245	TRUE	3
chrUn_gl000246	TRUE	4
chrUn_gl000247	TRUE	744
chrUn_gl000248	TRUE	2115
chrUn_gl000249	TRUE	34
chrX	TRUE	1563565
chrY	TRUE	74742
