id	valid	count
chr1	TRUE	8674776
chr10	TRUE	3692480
chr11	TRUE	3804448
chr11_gl000202_random	TRUE	0
chr12	TRUE	3758933
chr13	TRUE	937302
chr14	TRUE	1975157
chr15	TRUE	2804169
chr16	TRUE	2954388
chr17	TRUE	4654713
chr17_gl000203_random	TRUE	0
chr17_gl000204_random	TRUE	1
chr17_gl000205_random	TRUE	151
chr17_gl000206_random	TRUE	0
chr18	TRUE	560823
chr18_gl000207_random	TRUE	0
chr19	TRUE	4715126
chr19_gl000208_random	TRUE	11
chr19_gl000209_random	TRUE	45
chr1_gl000191_random	TRUE	15913
chr1_gl000192_random	TRUE	16024
chr2	TRUE	4638507
chr20	TRUE	1654515
chr21	TRUE	1260340
chr21_gl000210_random	TRUE	0
chr22	TRUE	2233976
chr3	TRUE	4978542
chr4	TRUE	2687269
chr4_gl000193_random	TRUE	1
chr4_gl000194_random	TRUE	2002
chr5	TRUE	2836912
chr6	TRUE	3203162
chr7	TRUE	4146282
chr7_gl000195_random	TRUE	1
chr8	TRUE	1332979
chr8_gl000196_random	TRUE	7
chr8_gl000197_random	TRUE	14
chr9	TRUE	3519545
chr9_gl000198_random	TRUE	1
chr9_gl000199_random	TRUE	2
chr9_gl000200_random	TRUE	277
chr9_gl000201_random	TRUE	54
chrM	TRUE	6280548
chrUn_gl000211	TRUE	4869
chrUn_gl000212	TRUE	688
chrUn_gl000213	TRUE	4
chrUn_gl000214	TRUE	13
chrUn_gl000215	TRUE	10
chrUn_gl000216	TRUE	0
chrUn_gl000217	TRUE	17
chrUn_gl000218	TRUE	2357
chrUn_gl000219	TRUE	63
chrUn_gl000220	TRUE	832
chrUn_gl000221	TRUE	18
chrUn_gl000222	TRUE	565
chrUn_gl000223	TRUE	13660
chrUn_gl000224	TRUE	14
chrUn_gl000225	TRUE	2
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	343
chrUn_gl000228	TRUE	36
chrUn_gl000229	TRUE	0
chrUn_gl000230	TRUE	1
chrUn_gl000231	TRUE	1
chrUn_gl000232	TRUE	5
chrUn_gl000233	TRUE	3
chrUn_gl000234	TRUE	1
chrUn_gl000235	TRUE	4
chrUn_gl000236	TRUE	1
chrUn_gl000237	TRUE	7
chrUn_gl000238	TRUE	37
chrUn_gl000239	TRUE	22
chrUn_gl000240	TRUE	23
chrUn_gl000241	TRUE	28
chrUn_gl000242	TRUE	5124
chrUn_gl000243	TRUE	16
chrUn_gl000244	TRUE	3
chrUn_gl000245	TRUE	2
chrUn_gl000246	TRUE	4
chrUn_gl000247	TRUE	90
chrUn_gl000248	TRUE	1
chrUn_gl000249	TRUE	1596
chrX	TRUE	1838472
chrY	TRUE	51827
